,LNCS ID,CEUR ID
0,lncs_120,ceur_746
1,lncs_121,ceur_860
2,lncs_122,ceur_705
3,lncs_123,ceur_693
4,lncs_124,ceur_762
5,lncs_125,ceur_825
6,lncs_126,ceur_764
7,lncs_299,ceur_1287
8,lncs_300,ceur_1321
9,lncs_301,ceur_1352
10,lncs_302,ceur_1150
11,lncs_303,ceur_1253
12,lncs_304,ceur_1169
13,lncs_305,ceur_1207
14,lncs_425,ceur_2880
15,lncs_426,ceur_2879
16,lncs_427,ceur_2841
17,lncs_428,ceur_2910
18,lncs_429,ceur_2913
19,lncs_666,ceur_556
20,lncs_667,ceur_538
21,lncs_668,ceur_642
22,lncs_669,ceur_645
23,lncs_670,ceur_668
24,lncs_671,ceur_655
25,lncs_672,ceur_682
26,lncs_1071,ceur_3367
27,lncs_1072,ceur_3482
28,lncs_1073,ceur_3389
29,lncs_1074,ceur_3397
30,lncs_1075,ceur_3416
31,lncs_1076,ceur_3340
32,lncs_1077,ceur_3433
33,lncs_1078,ceur_3465
34,lncs_1103,ceur_1083
35,lncs_1104,ceur_1111
36,lncs_1105,ceur_1103
37,lncs_1106,ceur_1051
38,lncs_1107,ceur_1097
39,lncs_1108,ceur_1139
40,lncs_1156,ceur_899
41,lncs_1157,ceur_978
42,lncs_1158,ceur_884
43,lncs_1159,ceur_966
44,lncs_1160,ceur_1010
45,lncs_1161,ceur_933
46,lncs_1162,ceur_904
47,lncs_1163,ceur_982
48,lncs_1164,ceur_957
49,lncs_1213,ceur_165
50,lncs_1214,ceur_12
51,lncs_1215,ceur_146
52,lncs_1216,ceur_79
53,lncs_1217,ceur_4
